name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
...aur pyaar ho gaya,1997,147,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,bobby deol,aishwarya rai bachchan,shammi kapoor
...yahaan,2005,142,"Drama, Romance, War",7.4,1086,Shoojit Sircar,jimmy sheirgill,minissha lamba,yashpal sharma
?: a question mark,2012,82,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,yash dave,muntazir ahmad,kiran bhatia
@andheri,2014,116,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,augustine,fathima babu,byon
1:1.6 an ode to lost love,2004,96,Drama,6.2,17,Madhu Ambat,rati agnihotri,gulshan grover,atul kulkarni
1:13:7 ek tera saath,2016,120,Horror,5.9,59,Arshad Siddiqui,pankaj berry,anubhav dhir,hritu dudani
100 days,1991,161,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,jackie shroff,madhuri dixit,javed jaffrey
100% love,2012,166,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,jeet,koyel mallick,sujoy ghosh
102 not out,2018,102,"Comedy, Drama",7.4,6619,Umesh Shukla,amitabh bachchan,rishi kapoor,vijay raaz
10ml love,2010,87,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,neil bhoopalam,anusha bose,manu rishi chadha
12 o'clock,1958,132,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,guru dutt,waheeda rehman,shashikala
12 o'clock,2021,105,"Horror, Thriller",4.4,63,Ram Gopal Varma,mithun chakraborty,makrand deshpande,dalip tahil
127 b,2017,116,"Comedy, Horror",6.6,26,Seshu Kmr,mast ali,aziz naser,heena shaik
13b: fear has a new address,2009,146,"Drama, Horror, Mystery",7.3,6329,Vikram K. Kumar,madhavan,neetu chandra,poonam dhillon
15 park avenue,2005,116,Drama,7.1,1002,Aparna Sen,shabana azmi,konkona sen sharma,rahul bose
15th august,1993,168,Drama,5.6,15,Vicky Ranawat,ronit roy,tisca chopra,shakti kapoor
16 december,2002,158,"Action, Thriller",6.9,1235,Mani Shankar,milind soman,danny denzongpa,gulshan grover
18.11,2014,126,Action,3.5,10,Mohibul Haque,rehal khan,gulshan grover,mukesh tiwari
19 revolutions,2004,94,Drama,4.5,16,Sridhar Reddy,tarun arora,gulshan grover,vinay pandey
